datetime,meter_id,meter_reading,watts,kwh 
4/30/2024 11:45:00 AM,179102626,90321.43,361285720.0,90321.43
4/30/2024 12:00:00 PM,179102626,92569.8,370279200.0,92569.8
4/30/2024 12:15:00 AM,179102828,59908.1,239632400.0,59908.1
4/30/2024 12:30:00 AM,179102828,60249.12,240996480.0,60249.12
4/30/2024 12:45:00 AM,179102828,58487.13,233948520.0,58487.13
4/30/2024 1:00:00 AM,179102828,57279.98,229119920.0,57279.98
4/30/2024 1:15:00 AM,179102828,61388.36,245553440.0,61388.36
4/30/2024 1:30:00 AM,179102828,58832.46,235329840.0,58832.46
4/30/2024 1:45:00 AM,179102828,58063.87,232255480.0,58063.87
4/30/2024 2:00:00 AM,179102828,62467.32,249869280.0,62467.32
4/30/2024 2:15:00 AM,179102828,58818.2,235272800.0,58818.2
4/30/2024 2:30:00 AM,179102828,59183.75,236735000.0,59183.75
4/30/2024 2:45:00 AM,179102828,59933.07,239732280.0,59933.07
4/30/2024 3:00:00 AM,179102828,58460.08,233840320.0,58460.08
4/30/2024 3:15:00 AM,179102828,58859.57,235438280.0,58859.57
4/30/2024 3:30:00 AM,179102828,58642.16,234568640.0,58642.16
4/30/2024 3:45:00 AM,179102828,58041.83,232167320.0,58041.83
4/30/2024 4:00:00 AM,179102828,58495.46,233981840.0,58495.46
4/30/2024 4:15:00 AM,179102828,60366.11,241464440.0,60366.11
4/30/2024 4:30:00 AM,179102828,60034.96,240139840.0,60034.96
4/30/2024 4:45:00 AM,179102828,57893.43,231573720.0,57893.43
4/30/2024 5:00:00 AM,179102828,57560.97,230243880.0,57560.97
4/30/2024 5:15:00 AM,179102828,59625.93,238503720.0,59625.93
4/30/2024 5:30:00 AM,179102828,58692.81,234771240.0,58692.81
4/30/2024 5:45:00 AM,179102828,41273.04,165092160.0,41273.04
4/30/2024 6:00:00 AM,179102828,61361.18,245444720.0,61361.18
4/30/2024 6:15:00 AM,179102828,62452.0,249808000.0,62452.0
4/30/2024 6:30:00 AM,179102828,62490.83,249963320.0,62490.83
4/30/2024 6:45:00 AM,179102828,66411.88,265647520.00000003,66411.88
4/30/2024 7:00:00 AM,179102828,65660.88,262643520.00000003,65660.88
4/30/2024 7:15:00 AM,179102828,72576.5,290306000.0,72576.5
4/30/2024 7:30:00 AM,179102828,76526.73,306106920.0,76526.73
4/30/2024 7:45:00 AM,179102828,75815.37,303261480.0,75815.37
4/30/2024 8:00:00 AM,179102828,82799.6,331198400.0,82799.6
4/30/2024 8:15:00 AM,179102828,76641.72,306566880.0,76641.72
4/30/2024 8:30:00 AM,179102828,73455.57,293822280.0,73455.57
4/30/2024 8:45:00 AM,179102828,75856.28,303425120.0,75856.28
4/30/2024 9:00:00 AM,179102828,94284.55,377138200.0,94284.55
